id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
SxvKjtbq5qRlFoXrU8Bo9Q,descendant-detroit-style-pizza-toronto-2,Descendant Detroit Style Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/HE2qwdBtlbPsY3UJnOWB-Q/o.jpg,False,https://www.yelp.com/biz/descendant-detroit-style-pizza-toronto-2?adjust_creative=447pLgGW4EPfKU4nfBpKAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=447pLgGW4EPfKU4nfBpKAg,450,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,[],$$,+16473471168,+1 647-347-1168,1089.9639610876482,43.662889,-79.332404,1168 Queen Street E,,,Toronto,M4M 1L5,CA,ON,"['1168 Queen Street E', 'Toronto, ON M4M 1L5', 'Canada']"
r_BrIgzYcwo1NAuG9dLbpg,pai-northern-thai-kitchen-toronto-5,Pai Northern Thai Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/uAnTcmLEQJWkCUOtvZMALA/o.jpg,False,https://www.yelp.com/biz/pai-northern-thai-kitchen-toronto-5?adjust_creative=447pLgGW4EPfKU4nfBpKAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=447pLgGW4EPfKU4nfBpKAg,3546,"[{'alias': 'thai', 'title': 'Thai'}]",4.5,[],$$,+14169014724,+1 416-901-4724,5914.003693947795,43.64784,-79.38872,18 Duncan Street,,,Toronto,M5H 3G8,CA,ON,"['18 Duncan Street', 'Toronto, ON M5H 3G8', 'Canada']"
mZRKH9ngRY92bI_irrHq6w,richmond-station-toronto,Richmond Station,https://s3-media3.fl.yelpcdn.com/bphoto/agCQCtFg1pwV4WRBBw8CAg/o.jpg,False,https://www.yelp.com/biz/richmond-station-toronto?adjust_creative=447pLgGW4EPfKU4nfBpKAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=447pLgGW4EPfKU4nfBpKAg,920,"[{'alias': 'newcanadian', 'title': 'Canadian (New)'}]",4.5,[],$$$,+16477481444,+1 647-748-1444,5072.123390057736,43.6513729,-79.379285,1 Richmond Street W,,,Toronto,M5H 3W4,CA,ON,"['1 Richmond Street W', 'Toronto, ON M5H 3W4', 'Canada']"
UkoseRjoLT4K2bEzvmyhYA,the-wren-toronto,The Wren,https://s3-media4.fl.yelpcdn.com/bphoto/QgLNHUlzjBBVTHHkYxdweQ/o.jpg,False,https://www.yelp.com/biz/the-wren-toronto?adjust_creative=447pLgGW4EPfKU4nfBpKAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=447pLgGW4EPfKU4nfBpKAg,223,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American'}]",4.0,[],$$,+16477481382,+1 647-748-1382,1990.1574680161232,43.6824096,-79.3280496,1382 Danforth Avenue,,,Toronto,M4J 1M9,CA,ON,"['1382 Danforth Avenue', 'Toronto, ON M4J 1M9', 'Canada']"
Jo3Cpvf8fpfcAIFG3TagbQ,pantheon-restaurant-toronto,Pantheon Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/RjVd24K1SvwVW-Rrem3EBA/o.jpg,False,https://www.yelp.com/biz/pantheon-restaurant-toronto?adjust_creative=447pLgGW4EPfKU4nfBpKAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=447pLgGW4EPfKU4nfBpKAg,351,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.0,[],$$,+14167781929,+1 416-778-1929,2886.349372497383,43.67744,-79.35129,407 Danforth Avenue,,,Toronto,M4K 1P1,CA,ON,"['407 Danforth Avenue', 'Toronto, ON M4K 1P1', 'Canada']"
yP71_LfUPnGIRqA2g09RoQ,lake-inez-toronto,Lake Inez,https://s3-media3.fl.yelpcdn.com/bphoto/vg38w5SFLek-KtR1I49DvQ/o.jpg,False,https://www.yelp.com/biz/lake-inez-toronto?adjust_creative=447pLgGW4EPfKU4nfBpKAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=447pLgGW4EPfKU4nfBpKAg,99,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,[],$$$,,,757.1613668906674,43.67234,-79.32064,1471 Gerrard Street E,,,Toronto,M4L 2A1,CA,ON,"['1471 Gerrard Street E', 'Toronto, ON M4L 2A1', 'Canada']"
Yl2TN9c23ZGLUBSD9ks5Uw,byblos-toronto-2,Byblos,https://s3-media2.fl.yelpcdn.com/bphoto/ciuAYgyPtC7HtljXC4nEnw/o.jpg,False,https://www.yelp.com/biz/byblos-toronto-2?adjust_creative=447pLgGW4EPfKU4nfBpKAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=447pLgGW4EPfKU4nfBpKAg,916,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.5,[],$$$$,+16476600909,+1 647-660-0909,5883.505813269044,43.647546,-79.388123,11 Duncan Street,,,Toronto,M5V 3M2,CA,ON,"['11 Duncan Street', 'Toronto, ON M5V 3M2', 'Canada']"
bhoJYB0ArSqRe-Q82BI4vA,kyouka-ramen-toronto-8,Kyouka Ramen,https://s3-media1.fl.yelpcdn.com/bphoto/rHiSBTrCaVCYcDf4mP-DEA/o.jpg,False,https://www.yelp.com/biz/kyouka-ramen-toronto-8?adjust_creative=447pLgGW4EPfKU4nfBpKAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=447pLgGW4EPfKU4nfBpKAg,141,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.5,[],$$,+16477486288,+1 647-748-6288,2633.8193465006498,43.6726826,-79.288133,2222 Queen St E,,,Toronto,M4E 1E9,CA,ON,"['2222 Queen St E', 'Toronto, ON M4E 1E9', 'Canada']"
OIdOJaNS8M624F58XGV3PQ,pizzeria-libretto-danforth-toronto,Pizzeria Libretto Danforth,https://s3-media2.fl.yelpcdn.com/bphoto/PBHn-gBVzBefb5k9LMMsOA/o.jpg,False,https://www.yelp.com/biz/pizzeria-libretto-danforth-toronto?adjust_creative=447pLgGW4EPfKU4nfBpKAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=447pLgGW4EPfKU4nfBpKAg,326,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.0,[],$$,+14164660400,+1 416-466-0400,2685.0457783674497,43.6785868,-79.3475785,550 Danforth Avenue,,,Toronto,M4K 1P8,CA,ON,"['550 Danforth Avenue', 'Toronto, ON M4K 1P8', 'Canada']"
dAmVTQ6ukuLh4UxTmBoRkg,mahas-toronto-2,Maha's,https://s3-media4.fl.yelpcdn.com/bphoto/0Eq37VrKrmHNk8GAVCTAPA/o.jpg,False,https://www.yelp.com/biz/mahas-toronto-2?adjust_creative=447pLgGW4EPfKU4nfBpKAg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=447pLgGW4EPfKU4nfBpKAg,602,"[{'alias': 'egyptian', 'title': 'Egyptian'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,[],$$,+14164622703,+1 416-462-2703,999.543304314902,43.67167,-79.32853,226 Greenwood Avenue,,,Toronto,M4L 2R2,CA,ON,"['226 Greenwood Avenue', 'Toronto, ON M4L 2R2', 'Canada']"
